dateStr, participantId,clockwise,correct, rt, sessionNo, blockNo, trialNo, rotation, noise, triggerTime, responseStart, responseEnd
2022_Jan_08_2239, 12345, True, True, 0.37519620100283646, 2, 1, 1, 0, 0, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.32441975999972783, 2, 1, 2, 0, 0, NA, NA, NA
2022_Jan_08_2239, 12345, False, True, 0.21134861600148724, 2, 1, 3, 0, 0, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.24575643099888111, 2, 1, 4, 0, 0, NA, NA, NA
2022_Jan_08_2239, 12345, False, True, 0.08952611299901037, 2, 1, 5, 0, 0, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.247487695000018, 2, 2, 6, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, False, True, 0.0998290800016548, 2, 2, 7, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.0860962099977769, 2, 2, 8, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.15337233799800742, 2, 2, 9, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.26079442400077824, 2, 2, 10, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.048773089998576324, 2, 3, 11, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.18899970400161692, 2, 3, 12, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.14322505599920987, 2, 3, 13, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.07694217000243952, 2, 3, 14, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, False, True, 0.17378602200187743, 2, 3, 15, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.053497053999308264, 2, 4, 16, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, True, False, 0.45050061299843946, 2, 4, 17, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.5475431349987048, 2, 4, 18, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.10674953200214077, 2, 4, 19, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.004012469998997403, 2, 4, 20, 1, 2, NA, NA, NA
2022_Jan_08_2239, 12345, False, True, 0.41971498999919277, 2, 5, 21, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.6222190560001764, 2, 5, 22, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.45692479699937394, 2, 5, 23, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.09384495799895376, 2, 5, 24, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, False, True, 0.15044837599998573, 2, 5, 25, 7, 8, NA, NA, NA
2022_Jan_08_2239, 12345, False, True, 0.20827005200044368, 2, 6, 26, 0, 0, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.21374799099794473, 2, 6, 27, 0, 0, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.2689762129994051, 2, 6, 28, 0, 0, NA, NA, NA
2022_Jan_08_2239, 12345, True, True, 0.056880417996580945, 2, 6, 29, 0, 0, NA, NA, NA
2022_Jan_08_2239, 12345, False, True, 0.11623108600178966, 2, 6, 30, 0, 0, NA, NA, NA
